2020-06-03 12:35:09,067 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (1, '今日推荐', 1)
2020-06-03 12:35:20,300 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (2758331, 111976390, '560034382770', '2元券', '11小时后过期', '2020-06-03', 'https://uland.taobao.com/coupon/edetail?e=jyagEWYcGaEGQASttHIRqZgdBpWvNvV6u3MRe3Z3vVv3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yuT3b4zuHjpz1ug731VBEQm1M7QmaYJz9PFaBe2GOkPYHvfjMSYvfkGji5Mwp8diMGVfMXUr%2BXg3laLo%2F5Lmd1%2BMt3e%2F%2F3Xs1gABhauom1L5&traceId=0b0ae6c115911523807525745e&union_lens=lensId:TAPI@1591152380@0b5952e1_0dc6_17278128b63_5722@01&xId=6jW7mXKgYNwJYf6pB9qMCzAmI82WySJqQBscf1WdibK48oMWHwWQfbAC5p0bt05WKnsRcsNvo0k0cpgbbPYL6RHuisazerBfXAh3HdTZHMvI&nowake=1', 1)
2020-06-03 12:35:20,350 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (11925444, 107681283, '590574038633', '', '', None, 'https://s.click.taobao.com/My4jxgv', 1)
2020-06-03 12:35:20,382 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (1851901, 443694726, '557971077254', '', '', None, 'https://s.click.taobao.com/UJH8wgv', 1)
2020-06-03 12:35:20,411 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (16611919, 228298081, '594224784547', '10元券', '1天后过期', '2020-06-04', 'https://uland.taobao.com/coupon/edetail?e=GN2UM2u78ucGQASttHIRqaQ%2F1i4zJyjmSciUFPPDyQclo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHPdHjWwun9sGie%2FpBy9wBFg%3D%3D&traceId=0b093a3315911403791652163e&union_lens=lensId:TAPI@1591140379@0b0aff46_0df0_172775b6a28_1ae2@01&xId=1PpCpagZYVQ37eg01EbYdEzTbtRl8UMW602hVgIrODz9cB7avllR3Kb5bCGJSGGzXBXdYqJxirS0YCQGJEizelhPItAG6iezVV9tXh6oKOYa&nowake=1', 1)
2020-06-03 12:35:20,496 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (36643177, 223637034, '614178944606', '', '', None, 'https://s.click.taobao.com/mRqcwgv', 1)
2020-06-03 12:35:20,508 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (25539230, 66191967, '602756406071', '2元券', '5天后过期', '2020-06-08', 'https://uland.taobao.com/coupon/edetail?e=9w5mYThV5XAE%2BdAb1JoOOgAfevAqMr8ZyhEFsSD0BNJGv5p3RdDIWfxhzjeg5ZVYhL9S7%2BNDb88QbEG2MvXNubDgrwtX2alfu6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHij0GK42fS6aie%2FpBy9wBFg%3D%3D&traceId=0b0b382215911584778762033e&union_lens=lensId:TAPI@1591158477@0b1da453_0da1_172786f943d_d304@01&xId=6eg81GgsM9C34f4VlLBadYnKdDbyub4X47imxrY0Go8mUBPoXFFGgS6HCnmKYpvR2wzy9JB3GfjwbORGD2mJW6Lq6UsZKDnzH4ZaWJYTdvXJ&nowake=1', 1)
2020-06-03 12:35:20,532 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (1862592, 148607653, '560385518604', '3元券', '11小时后过期', '2020-06-03', 'https://uland.taobao.com/coupon/edetail?e=iisZv6OP23wGQASttHIRqQsva5BASadzRrRhl3wKgARGv5p3RdDIWfxhzjeg5ZVYhL9S7%2BNDb8%2FqI1CKYofkD3%2F4Vru%2FikDru6VV5gOm07gLue%2FvdciV01ZrtTOLgXkcjDppvlX%2Bob%2F%2BTosbFmliBzQxd0%2F7s8Sy8%2B1UQ0U%2BCWsyadWZY7Ufy%2FRvuQ84uuiQUtqM5E5JIeWnT7%2F5eLYc9twdFQobLvJr&traceId=0bb049c515911442187863297e&union_lens=lensId:TAPI@1591144218@0b5797e2_0d91_172779600aa_bb1f@01&xId=HUHSgdGlwbSm4eTPpjC30KRs6paB13fQi7FQqkiThmbWaAfMtdSRWYluGoiZPwPjAOVs9ttm2lDBBAV07hKRbdcRxxMvW0Yl5MpwzlDyew8&nowake=1', 1)
2020-06-03 12:35:20,628 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (38121321, 108292424, '616688480566', '', '', None, 'https://s.click.taobao.com/fo4wwgv', 1)
2020-06-03 12:35:20,676 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (2660656, 118651517, '565516004393', '5元券', '2天后过期', '2020-06-05', 'https://uland.taobao.com/coupon/edetail?e=dR9C2mzBRlsGQASttHIRqbeIBkdbJ1IUKXMUKMGe4hIlo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnbwhKmidQMsPtjNNzEUa%2FOzu6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHgi1rVyp%2FbrSie%2FpBy9wBFg%3D%3D&traceId=0b08683b15911410158141597e&union_lens=lensId:TAPI@1591141015@0b1768f0_0dbd_1727765210c_8f0e@01&xId=6sWVe5r60kPHSZ5Wc54mfQDPUmnTPimzcCnzei0GifV54m2vyqPLvDUfuoHeTw3ujMScUgk7xBoQBDRZxW4QOUQPfLaEJVYutASijAv8NtsM&nowake=1', 1)
2020-06-03 12:35:20,725 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (4213709, 265523065, '578153260842', '1元券', '1天后过期', '2020-06-04', 'https://uland.taobao.com/coupon/edetail?e=zFPDQ6xJB60GQASttHIRqeDi8vyzKVHch2ooTTUQOCn3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2EapOqJ6aIGNB%2BptFOX5BFhDLsaEUNwvh%2Fe4jhJOlKXXonv6QcvcARY%3D&traceId=0b09431815911570523958381e96d7&union_lens=lensId:TAPI@1591157052@0b0afc17_0d8b_1727859d3f8_41ec@01&xId=79kXdqaDARNyk33RnCBxA5N7BbalA9tDpFZ2r9Ra1e7s9GfTIZxioJKOIeTDDSA4S7bKOsKoRZHwxXeY91jL1QW7kAqm9KYsbINQ5Z7olFRV&nowake=1', 1)
2020-06-03 12:35:20,769 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (20420438, 72141722, '600213125184', '5元券', '27天后过期', '2020-06-30', 'https://uland.taobao.com/coupon/edetail?e=ODqkPzMbC0kE%2BdAb1JoOOoY7JQlvK0MTDfhb5UdKDyP3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpFpE8gsalPHkhGlj1vlHTbVIJ1GtccYOa4%2B%2F7FM2YL2yuT3b4zuHjpz1ug731VBEQm1M7QmaYJz9PFaBe2GOkPYHvfjMSYvfkGji5Mwp8diMGVfMXUr%2BXg3laLo%2F5Lmd19hvsa6urCtpxw7JfnM3pU1&traceId=0b14dd0215911439220734665e&union_lens=lensId:TAPI@1591143922@0b0b6466_0df4_172779179a9_45cb@01&xId=1i2Kdenn8ayg0MPayrm8DZDXUXAJqVmDQ8tg9R8qcffxRlqUreYos3twRrWth2ivIPkZGDMTaJWSwaUAvayU5snnT3sc3ILroCYGj2iQbo7R&nowake=1', 1)
2020-06-03 12:35:20,908 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (39012491, 64886968, '596094263872', '5元券', '4天后过期', '2020-06-07', 'https://uland.taobao.com/coupon/edetail?e=NPiZHE76TP8GQASttHIRqZrjGwGnarYm7ra8UXQsZv73iKmh8D5SnLRS9aRdQNtiuGLjUECKJpGvsdxtKKllT4hnM47PEzWUIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHlTPoyZxRVmAWFQucBCZRyAg%3D%3D&traceId=0b0ff1b415911402929113437e&union_lens=lensId:TAPI@1591140292@0b0aff46_0df0_172775a193a_e78a@01&xId=49keqn82sU1BflbI6fjioMLEz1CxqmvRCWToqd3TuoPhPXnq5BSC4oYbMCTvo6LMOCB0eO4mAGz7M5EqYwDa9QHpkzVnAmtK2f1qkPiVn5MU&nowake=1', 1)
2020-06-03 12:35:20,968 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (21986465, 149608088, '584205029304', '2元券', '27天后过期', '2020-06-30', 'https://uland.taobao.com/coupon/edetail?e=%2BaIKLEeT9bgGQASttHIRqTbuXQ3rJY%2Bg4kOuCc4v77%2F3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpFpE8gsalPHkhGlj1vlHTbVIJ1GtccYOa4%2B%2F7FM2YL2yuT3b4zuHjpz1ug731VBEQm1M7QmaYJz9PFaBe2GOkPYHvfjMSYvfkGji5Mwp8diMGVfMXUr%2BXg3laLo%2F5Lmd1%2BMt3e%2F%2F3Xs1l2abB3HUCzh&traceId=0b152fb115911543566763778e&union_lens=lensId:TAPI@1591154356@0b8fdc87_0dad_1727830b1cc_601e@01&xId=49ck7dizjZ4OuXDLcYQGGEyjYeVXW0gfGMN62mcLOWlzstRanjewIgQjJm56L50K8sHrVMH4UJLbwKJsGXYCrgUL90OO9EWJRnHUbi3XFgC9&nowake=1', 1)
2020-06-03 12:35:20,974 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (25556812, 66191967, '602968381678', '2元券', '5天后过期', '2020-06-08', 'https://uland.taobao.com/coupon/edetail?e=AIu05HJ2LFIE%2BdAb1JoOOlLcPnKX46uyIGy8tNa%2Fu9X3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpFpE8gsalPHkhGlj1vlHTbVIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHl78pzP3yrSMEAGuwzN6Mbeg%3D%3D&traceId=0b09213015911544804881028e&union_lens=lensId:TAPI@1591154480@0b1545dd_0dd7_17278329574_cab2@01&xId=1fDaXd3yWRZn6WEkJny7jm8ZfHYAMzcgsBvuH2H21cPSqqtwmSogtsctTqx8ZXxkN7rn3vas9UCCJ9diKuPFpsvi6kT6I60eVfrGAHlQnzML&nowake=1', 1)
2020-06-03 12:35:21,083 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (34111498, 120343748, '606442992794', '', '', None, 'https://s.click.taobao.com/cVitwgv', 1)
bao.com/coupon/edetail?e=c4841q8ap%2BMGQASttHIRqWfUOoWVGOH%2FOYTR1dwD7twlo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BH8kevVNODJhmie%2FpBy9wBFg%3D%3D&traceId=0b0b820315911534289228205e&union_lens=lensId:TAPI@1591153428@0bb698e5_0e98_172782289c6_bace@01&xId=4gjzfzd1rutMlqHUyiuZv7Vr0TdPNVwUi82wPE7aqqljs233icNagyFIrWMzmQNNs1g3U1w9vwxRZG4GcOGjKVotY949e9jYP9ZfY2FQcQ7M&nowake=1', 1)
2020-06-03 12:35:21,093 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (3910473, 108414995, '579429351167', '5元券', '2天后过期', '2020-06-05', 'https://uland.taobao.com/coupon/edetail?e=czRNsIaUN2kGQASttHIRqefiYVOFsZevNHd7ZKJMvq33iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHly6PGemjJU6H8LLnwjqJg4Q%3D%3D&traceId=0b0b7dbb15911455041455988e&union_lens=lensId:TAPI@1591145504@0b581b6f_0da3_17277a99d99_1525@01&xId=6bNgXfRIJI4Kpk8xjcG9e6ewOgMc3lWTGwEb2DfCWkHHHgpKXgpRcvv6QNELc65aIYVK5PR8gtRxIqnHoZxGkznxrbzS6k6l3wwujubgaWDK&nowake=1', 1)
2020-06-03 12:35:21,094 【INFO】【sql】:insert into products (`image`, `sale_num`, `origin_price`, `title`, `price`, `is_free_postage`, `url`, `state`) values ('https://img.alicdn.com/bao/uploaded/i4/1963501846/O1CN01jrOyTW1PVVk0i6mbj_!!0-item_pic.jpg', 13322, 19.9, '福事多蜂蜜柚子百香果柠檬茶冲水喝的饮品3罐装 冲饮冲泡水果茶酱', 14.9, 0, 'https://uland.taobao.com/coupon/edetail?e=czRNsIaUN2kGQASttHIRqefiYVOFsZevNHd7ZKJMvq33iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHly6PGemjJU6H8LLnwjqJg4Q%3D%3D&traceId=0b0b7dbb15911455041455988e&union_lens=lensId:TAPI@1591145504@0b581b6f_0da3_17277a99d99_1525@01&xId=6bNgXfRIJI4Kpk8xjcG9e6ewOgMc3lWTGwEb2DfCWkHHHgpKXgpRcvv6QNELc65aIYVK5PR8gtRxIqnHoZxGkznxrbzS6k6l3wwujubgaWDK&nowake=1', 1)
2020-06-03 12:35:21,203 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (34704866, 202951041, '610366584344', '2元券', '25天后过期', '2020-06-28', 'https://uland.taobao.com/coupon/edetail?e=IUfGD4Y5U0AE%2BdAb1JoOOrjbqRJuqbODuqFl46SAX6j3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEGAixaoxeRVpujsgAxA1KoIJ1GtccYOa4%2B%2F7FM2YL2yuT3b4zuHjpz1ug731VBEQm1M7QmaYJz9PFaBe2GOkPYHvfjMSYvfkGji5Mwp8diMGVfMXUr%2BXg3laLo%2F5Lmd1%2BMt3e%2F%2F3Xs1juQe7p3w%2BLu&traceId=0b14d5ff15911500027187281e&union_lens=lensId:TAPI@1591150002@0b5797e2_0d91_17277ee4228_df18@01&xId=3qksbuxoQcVybmAfzipOOix5FBQLlDXkIhZkXoIECwm6uUQl47WXWznKNZxOMXtnKwp5OVrPodJ26SrQ7wjKPuO2ogvAowR3DzEdVlnPLFCj&nowake=1', 1)
2020-06-03 12:35:21,210 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (3779409, 114190056, '576840393096', '3元券', '6天后过期', '2020-06-09', 'https://uland.taobao.com/coupon/edetail?e=2ZeCNvb3C0IGQASttHIRqUA%2BV0rhSW0%2BP%2Bl8zNwfSFclo30h2xw3191jDoXW5ZRi8G4jV%2BSFtpLK2BpCF7gTnHaSKrbrmYMtu6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BH%2BRiFszpANZ2ie%2FpBy9wBFg%3D%3D&traceId=0b150eff15911444679475496e&union_lens=lensId:TAPI@1591144467@0b081819_0db3_1727799cdf6_1925@01&xId=6yl14ku09P6jox8ryCiENK8f4MdqPUO6EsyVz0gRdH7IyzpWeSksERgK7BSdQwNPAaeu9HGSrxBrDlnFyndrCjOf42bQqRrZNvOEz4JhvtZw&nowake=1', 1)
